Gene Name,GO IDs,Biological Functions
ABCC8,"GO:0001678, GO:0006813, GO:0006813, GO:0007565, GO:0007613, GO:0008542, GO:0009268, GO:0009410, GO:0010043, GO:0010989, GO:0016525, GO:0032496, GO:0032760, GO:0032868, GO:0035774, GO:0043268, GO:0046676, GO:0050768, GO:0050796, GO:0050796, GO:0055085, GO:0055085, GO:0055085, GO:0060253, GO:0061855, GO:0071805, GO:1900721, GO:1905075, GO:1905604, GO:1990573","intracellular glucose homeostasis, potassium ion transport, potassium ion transport, female pregnancy, memory, visual learning, response to pH, response to xenobiotic stimulus, response to zinc ion, negative regulation of low-density lipoprotein particle clearance, negative regulation of angiogenesis, response to lipopolysaccharide, positive regulation of tumor necrosis factor production, response to insulin, positive regulation of insulin secretion involved in cellular response to glucose stimulus, positive regulation of potassium ion transport, negative regulation of insulin secretion, negative regulation of neurogenesis, regulation of insulin secretion, regulation of insulin secretion, transmembrane transport, transmembrane transport, transmembrane transport, negative regulation of glial cell proliferation, negative regulation of neuroblast migration, potassium ion transmembrane transport, positive regulation of uterine smooth muscle relaxation, positive regulation of tight junction disassembly, negative regulation of blood-brain barrier permeability, potassium ion import across plasma membrane"
ABCC9,"GO:0006813, GO:0033198, GO:0033198, GO:0033198, GO:0051607, GO:0055085, GO:0055085, GO:0055085, GO:0061337, GO:0071805, GO:0071805, GO:0071805, GO:0071805, GO:0098655, GO:0150104, GO:1990573","potassium ion transport, response to ATP, response to ATP, response to ATP, defense response to virus, transmembrane transport, transmembrane transport, transmembrane transport, cardiac conduction, potassium ion transmembrane transport, potassium ion transmembrane transport, potassium ion transmembrane transport, potassium ion transmembrane transport, monoatomic cation transmembrane transport, transport across blood-brain barrier, potassium ion import across plasma membrane"
ABCD1,"GO:0000038, GO:0000038, GO:0002082, GO:0002082, GO:0006633, GO:0006635, GO:0006635, GO:0006635, GO:0006635, GO:0006635, GO:0007031, GO:0007031, GO:0007031, GO:0015910, GO:0015910, GO:0015910, GO:0015916, GO:0015919, GO:0019217, GO:0030497, GO:0030497, GO:0031998, GO:0031998, GO:0032000, GO:0032000, GO:0032000, GO:0036109, GO:0036113, GO:0042758, GO:0042758, GO:0042760, GO:0042760, GO:0042760, GO:0042760, GO:0043217, GO:0043217, GO:0043651, GO:0045834, GO:0051900, GO:0051900, GO:0055085, GO:0055089, GO:0055089, GO:0055092, GO:0055092, GO:1900016, GO:1900016, GO:1900407, GO:1900407, GO:1903427, GO:1903427, GO:1990535, GO:1990535, GO:2001280, GO:2001280","very long-chain fatty acid metabolic process, very long-chain fatty acid metabolic process, regulation of oxidative phosphorylation, regulation of oxidative phosphorylation, fatty acid biosynthetic process, fatty acid beta-oxidation, fatty acid beta-oxidation, fatty acid beta-oxidation, fatty acid beta-oxidation, fatty acid beta-oxidation, peroxisome organization, peroxisome organization, peroxisome organization, long-chain fatty acid import into peroxisome, long-chain fatty acid import into peroxisome, long-chain fatty acid import into peroxisome, fatty-acyl-CoA transport, peroxisomal membrane transport, regulation of fatty acid metabolic process, fatty acid elongation, fatty acid elongation, regulation of fatty acid beta-oxidation, regulation of fatty acid beta-oxidation, positive regulation of fatty acid beta-oxidation, positive regulation of fatty acid beta-oxidation, positive regulation of fatty acid beta-oxidation, alpha-linolenic acid metabolic process, very long-chain fatty-acyl-CoA catabolic process, long-chain fatty acid catabolic process, long-chain fatty acid catabolic process, very long-chain fatty acid catabolic process, very long-chain fatty acid catabolic process, very long-chain fatty acid catabolic process, very long-chain fatty acid catabolic process, myelin maintenance, myelin maintenance, linoleic acid metabolic process, positive regulation of lipid metabolic process, regulation of mitochondrial depolarization, regulation of mitochondrial depolarization, transmembrane transport, fatty acid homeostasis, fatty acid homeostasis, sterol homeostasis, sterol homeostasis, negative regulation of cytokine production involved in inflammatory response, negative regulation of cytokine production involved in inflammatory response, regulation of cellular response to oxidative stress, regulation of cellular response to oxidative stress, negative regulation of reactive oxygen species biosynthetic process, negative regulation of reactive oxygen species biosynthetic process, neuron projection maintenance, neuron projection maintenance, positive regulation of unsaturated fatty acid biosynthetic process, positive regulation of unsaturated fatty acid biosynthetic process"
ABCD2,"GO:0000038, GO:0000038, GO:0006633, GO:0006635, GO:0006635, GO:0006635, GO:0007031, GO:0015910, GO:0019217, GO:0032000, GO:0032000, GO:0042760, GO:0042760, GO:0042760, GO:0042760, GO:0043217, GO:0043217, GO:0045834, GO:0055085, GO:1900016, GO:1900016, GO:1903427, GO:1903427, GO:1990535, GO:1990535, GO:2001280, GO:2001280","very long-chain fatty acid metabolic process, very long-chain fatty acid metabolic process, fatty acid biosynthetic process, fatty acid beta-oxidation, fatty acid beta-oxidation, fatty acid beta-oxidation, peroxisome organization, long-chain fatty acid import into peroxisome, regulation of fatty acid metabolic process, positive regulation of fatty acid beta-oxidation, positive regulation of fatty acid beta-oxidation, very long-chain fatty acid catabolic process, very long-chain fatty acid catabolic process, very long-chain fatty acid catabolic process, very long-chain fatty acid catabolic process, myelin maintenance, myelin maintenance, positive regulation of lipid metabolic process, transmembrane transport, negative regulation of cytokine production involved in inflammatory response, negative regulation of cytokine production involved in inflammatory response, negative regulation of reactive oxygen species biosynthetic process, negative regulation of reactive oxygen species biosynthetic process, neuron projection maintenance, neuron projection maintenance, positive regulation of unsaturated fatty acid biosynthetic process, positive regulation of unsaturated fatty acid biosynthetic process"
ABCD3,"GO:0000038, GO:0006633, GO:0006635, GO:0006635, GO:0006635, GO:0006699, GO:0006699, GO:0006869, GO:0007031, GO:0007031, GO:0007031, GO:0009410, GO:0015721, GO:0015721, GO:0015910, GO:0015910, GO:0015910, GO:0042760, GO:0042760, GO:0055085, GO:1903512, GO:1903512","very long-chain fatty acid metabolic process, fatty acid biosynthetic process, fatty acid beta-oxidation, fatty acid beta-oxidation, fatty acid beta-oxidation, bile acid biosynthetic process, bile acid biosynthetic process, lipid transport, peroxisome organization, peroxisome organization, peroxisome organization, response to xenobiotic stimulus, bile acid and bile salt transport, bile acid and bile salt transport, long-chain fatty acid import into peroxisome, long-chain fatty acid import into peroxisome, long-chain fatty acid import into peroxisome, very long-chain fatty acid catabolic process, very long-chain fatty acid catabolic process, transmembrane transport, phytanic acid metabolic process, phytanic acid metabolic process"
ABCD4,"GO:0006635, GO:0007031, GO:0009235, GO:0009235, GO:0015889, GO:0015889, GO:0015910, GO:0042760, GO:0055085, GO:0055085","fatty acid beta-oxidation, peroxisome organization, cobalamin metabolic process, cobalamin metabolic process, cobalamin transport, cobalamin transport, long-chain fatty acid import into peroxisome, very long-chain fatty acid catabolic process, transmembrane transport, transmembrane transport"
ABCE1,"GO:0006412, GO:0006413, GO:0006415, GO:0006415, GO:0032790, GO:0060702, GO:0072344, GO:0072344","translation, translational initiation, translational termination, translational termination, ribosome disassembly, negative regulation of endoribonuclease activity, rescue of stalled cytosolic ribosome, rescue of stalled cytosolic ribosome"
ABCF1,"GO:0006412, GO:0006413, GO:0006954, GO:0042254, GO:0045727","translation, translational initiation, inflammatory response, ribosome biogenesis, positive regulation of translation"
ABCF2,None Found,None Found
ABCF3,None Found,None Found
ABCG1,"GO:0008203, GO:0010745, GO:0010875, GO:0010887, GO:0010888, GO:0032367, GO:0033344, GO:0033344, GO:0033344, GO:0033344, GO:0033700, GO:0033993, GO:0034204, GO:0034374, GO:0034374, GO:0034375, GO:0034375, GO:0034436, GO:0042632, GO:0042632, GO:0042632, GO:0042987, GO:0043691, GO:0043691, GO:0045542, GO:0045542, GO:0050714, GO:0055085, GO:0055085, GO:0055091, GO:0071403, GO:0090181, GO:0090181, GO:1902004, GO:1990961","cholesterol metabolic process, negative regulation of macrophage derived foam cell differentiation, positive regulation of cholesterol efflux, negative regulation of cholesterol storage, negative regulation of lipid storage, intracellular cholesterol transport, cholesterol efflux, cholesterol efflux, cholesterol efflux, cholesterol efflux, phospholipid efflux, response to lipid, lipid translocation, low-density lipoprotein particle remodeling, low-density lipoprotein particle remodeling, high-density lipoprotein particle remodeling, high-density lipoprotein particle remodeling, glycoprotein transport, cholesterol homeostasis, cholesterol homeostasis, cholesterol homeostasis, amyloid precursor protein catabolic process, reverse cholesterol transport, reverse cholesterol transport, positive regulation of cholesterol biosynthetic process, positive regulation of cholesterol biosynthetic process, positive regulation of protein secretion, transmembrane transport, transmembrane transport, phospholipid homeostasis, cellular response to high density lipoprotein particle stimulus, regulation of cholesterol metabolic process, regulation of cholesterol metabolic process, positive regulation of amyloid-beta formation, xenobiotic detoxification by transmembrane export across the plasma membrane"
ABCG2,"GO:0006869, GO:0015747, GO:0015878, GO:0030148, GO:0032218, GO:0042908, GO:0046415, GO:0055085, GO:0055085, GO:0070633, GO:0097744, GO:0097744, GO:0098754, GO:0140115, GO:0140115, GO:0150104, GO:0160244, GO:1990748, GO:1990961, GO:1990962, GO:1990962, GO:1990962","lipid transport, urate transport, biotin transport, sphingolipid biosynthetic process, riboflavin transport, xenobiotic transport, urate metabolic process, transmembrane transport, transmembrane transport, transepithelial transport, renal urate salt excretion, renal urate salt excretion, detoxification, export across plasma membrane, export across plasma membrane, transport across blood-brain barrier, sulfite export across plasma membrane, cellular detoxification, xenobiotic detoxification by transmembrane export across the plasma membrane, xenobiotic transport across blood-brain barrier, xenobiotic transport across blood-brain barrier, xenobiotic transport across blood-brain barrier"
ABCG4,"GO:0006355, GO:0010875, GO:0015918, GO:0033344, GO:0033344, GO:0033344, GO:0033344, GO:0042632, GO:0042632, GO:0042632, GO:0045542, GO:0055085, GO:0071403","regulation of DNA-templated transcription, positive regulation of cholesterol efflux, sterol transport, cholesterol efflux, cholesterol efflux, cholesterol efflux, cholesterol efflux, cholesterol homeostasis, cholesterol homeostasis, cholesterol homeostasis, positive regulation of cholesterol biosynthetic process, transmembrane transport, cellular response to high density lipoprotein particle stimulus"
ABCG5,"GO:0006869, GO:0007584, GO:0009410, GO:0010212, GO:0010949, GO:0014850, GO:0015918, GO:0015918, GO:0030299, GO:0031667, GO:0033344, GO:0033344, GO:0033344, GO:0033344, GO:0042632, GO:0042632, GO:0042632, GO:0045796, GO:0055085, GO:0070328","lipid transport, response to nutrient, response to xenobiotic stimulus, response to ionizing radiation, negative regulation of intestinal phytosterol absorption, response to muscle activity, sterol transport, sterol transport, intestinal cholesterol absorption, response to nutrient levels, cholesterol efflux, cholesterol efflux, cholesterol efflux, cholesterol efflux, cholesterol homeostasis, cholesterol homeostasis, cholesterol homeostasis, negative regulation of intestinal cholesterol absorption, transmembrane transport, triglyceride homeostasis"
ABCG8,"GO:0006869, GO:0007584, GO:0009410, GO:0010949, GO:0014850, GO:0015918, GO:0030299, GO:0031667, GO:0033344, GO:0033344, GO:0033344, GO:0042632, GO:0042632, GO:0042632, GO:0045796, GO:0055085, GO:0070328","lipid transport, response to nutrient, response to xenobiotic stimulus, negative regulation of intestinal phytosterol absorption, response to muscle activity, sterol transport, intestinal cholesterol absorption, response to nutrient levels, cholesterol efflux, cholesterol efflux, cholesterol efflux, cholesterol homeostasis, cholesterol homeostasis, cholesterol homeostasis, negative regulation of intestinal cholesterol absorption, transmembrane transport, triglyceride homeostasis"
